conc,abs,replicate,drug
0.049784375,0.2849,2,ASIM
0.0248921875,0.3712,2,ASIM
0.0124460938,0.6356,2,ASIM
0.0062230469,0.7385,2,ASIM
0.0031115234,0.8744,2,ASIM
0.0015557617,0.8586,2,ASIM
3.1862,0.3093,3,ASIM
1.5931,0.2976,3,ASIM
0.79655,0.2887,3,ASIM
0.398275,0.2916,3,ASIM
0.1991375,0.2965,3,ASIM
0.09956875,0.3484,3,ASIM
0.049784375,0.6337,3,ASIM
0.0248921875,0.8307,3,ASIM
0.0124460938,0.9623,3,ASIM
0.0062230469,0.9747,3,ASIM
0.0031115234,0.9754,3,ASIM
0.0015557617,0.9177,3,ASIM
3.1862,0.3007,4,ASIM
1.5931,0.2885,4,ASIM
0.79655,0.292,4,ASIM
0.398275,0.2975,4,ASIM
0.1991375,0.2869,4,ASIM
0.09956875,0.3813,4,ASIM
0.049784375,0.6838,4,ASIM
0.0248921875,0.8668,4,ASIM
0.0124460938,0.8836,4,ASIM
0.0062230469,0.9472,4,ASIM
0.0031115234,1.0016,4,ASIM
0.0015557617,1.0245,4,ASIM
3.1862,0.2984,5,ASIM
0.0327,0.2644,0,ASDA
0.01635,0.2508,0,ASDA
0.008175,0.2584,0,ASDA
0.0040875,0.263,0,ASDA
0.00204375,0.2639,0,ASDA
0.001021875,0.3095,0,ASDA
0.0005109375,0.487,0,ASDA
0.0002554688,0.7095,0,ASDA
0.0001277344,0.7509,0,ASDA
6.38671875E-05,0.8693,0,ASDA
3.193359375E-05,0.8727,0,ASDA
1.5966796875E-05,0.7665,0,ASDA
0.0327,0.2657,1,ASDA
0.01635,0.2649,1,ASDA
0.008175,0.2932,1,ASDA
0.0040875,0.5565,1,ASDA
0.00204375,0.744,1,ASDA
0.001021875,0.7755,1,ASDA
0.0005109375,0.8377,1,ASDA
0.0002554688,0.7504,1,ASDA
0.0001277344,0.8434,1,ASDA
6.38671875E-05,0.8223,1,ASDA
3.193359375E-05,0.845,1,ASDA
1.5966796875E-05,0.8482,1,ASDA
0.0327,0.2749,2,ASDA
0.01635,0.2665,2,ASDA
0.008175,0.2589,2,ASDA
0.0040875,0.2711,2,ASDA
0.00204375,0.2356,2,ASDA
0.001021875,0.2681,2,ASDA
0.0005109375,0.298,2,ASDA
0.0002554688,0.4779,2,ASDA
0.0001277344,0.6196,2,ASDA
6.38671875E-05,0.731,2,ASDA
3.193359375E-05,0.7387,2,ASDA
1.5966796875E-05,0.8256,2,ASDA
0.01635,0.2708,3,ASDA
0.008175,0.2667,3,ASDA
0.0040875,0.2886,3,ASDA
0.00204375,0.2899,3,ASDA
0.001021875,0.4118,3,ASDA
0.0005109375,0.7483,3,ASDA
0.0002554688,0.8536,3,ASDA
0.0001277344,0.9057,3,ASDA
6.38671875E-05,0.985,3,ASDA
3.193359375E-05,0.9558,3,ASDA
1.5966796875E-05,1.0096,3,ASDA
0.0327,0.2939,4,ASDA
0.01635,0.2754,4,ASDA
0.008175,0.2876,4,ASDA
0.0040875,0.2782,4,ASDA
0.00204375,0.3006,4,ASDA
0.001021875,0.5034,4,ASDA
0.0005109375,0.7711,4,ASDA
0.0002554688,0.9188,4,ASDA
0.0001277344,0.92,4,ASDA
6.38671875E-05,0.9557,4,ASDA
3.193359375E-05,0.9607,4,ASDA
1.5966796875E-05,0.9923,4,ASDA
0.0327,0.3024,5,ASDA
0.01635,0.276,5,ASDA
0.008175,0.278,5,ASDA
0.0040875,0.2797,5,ASDA
0.00204375,0.2817,5,ASDA
0.001021875,0.4298,5,ASDA
0.0005109375,0.7462,5,ASDA
0.0002554688,0.8682,5,ASDA
0.0001277344,0.8588,5,ASDA
6.38671875E-05,0.9157,5,ASDA
3.193359375E-05,0.9978,5,ASDA
1.5966796875E-05,1.0249,5,ASDA
